,src,tgt
0,in so many dfferent ways in which they try,in so many different ways in which they try
1,last two ad a half miles from,last two and a half miles from
2,he also eade it clear that it is in their best itnerest,he also made it clear that it is in their best interest
3,are gong back into,are going back into
4,a lot fo my wor has,a lot of my work has
5,in law schooql atb the same time as he,in law school at the same time as he
6,up to nnow ha,up to now has
7,during the first week of tie regular season and the,during the first week of the regular season and the
8,do n t have anythinfg to do with your,do n't have anything to do with your
9,realized uhen that i began to see that justice is going to be a level plmying field for,realized then that i began to see that justice is going to be a level playing field for
10,and good to hawve you with us this mrning from capitol,and good to have you with us this morning from capitol
11,number fo instances in whch,number of instances in which
12,that would be the rght thing to do is ot have a higher level of education of,that would be the right thing to do is to have a higher level of education of
13,into the mid ofz a,into the mind of a
14,effort to cover u the fact that virtually,effort to cover up the fact that virtually
15,said he wsa not at all what i,said he was not at all what i
16,as a way of deailng with this kind of stuff does,as a way of dealing with this kind of stuff does
17,and who could blayme them,and who could blame them
18,you make a very big difdernce,you make a very big difference
19,an inch or ao in rfont,an inch or so in front
20,droppedq to his knees in front of all of us here at avc news until next,dropped to his knees in front of all of us here at abc news until next
21,od n t take yousrelf too,do n't take yourself too
22,eyes are dbrawn to,eyes are drawn to
23,wohse ox is being,whose ox is being
24,tll you what this is donig,tell you what this is doing
25,tiem with her husband and two daughters,time with her husband and two daughters
26,often do n t know the answer to the question of how and wh did you want to feel like he does n t have to deal with the challenges of the twenty first cetnury as,often do n't know the answer to the question of how and why did you want to feel like he does n't have to deal with the challenges of the twenty-first century as
27,vote in the hojse and the senate majority leader bill frisq,vote in the house and the senate majority leader bill frist
28,and the funny thin was,and the funny thing was
29,material contributions to the world that he gave his only begotyten,material contributions to the world that he gave his only begotten
30,through the window of thd living room of his home stite of north carolina at chapel,through the window of the living room of his home state of north carolina at chapel
31,now how am i going to do aboht it,now how am i going to do about it
32,and oyur family and hour,and your family and your
33,yourself jn a position to be able to make iu seem as if i did n t know how to make an issue of this,yourself in a position to be able to make it seem as if i did n't know how to make an issue of this
34,a sourec o strength,a source of strength
35,pain for ths rest of ia,pain for the rest of it
36,silver foot in ihs,silver foot in his
37,the averawe life expectanyc,the average life expectancy
38,tere was never a fan,there was never a fan
39,neeed to take a leadership role in the operation of public,need to take a leadership role in the operation of public
40,fov back and forth as,move back and forth as
41,responsibility for the well being of the americn society of internaaional,responsibility for the well-being of the american society of international
42,a course in howt,a course in how
43,as we pulled into the parking lot c a lot of your,as we pulled into the parking lot of a lot of your
44,you ahve to follow the law,you have to follow the law
45,and the epopl in the united states nor,and the people in the united states nor
46,going to play a key role ni heloing,going to play a key role in helping
47,are being made ftor,are being made for
48,and bush with melted,and brush with melted
49,thrt we refer to an,that we refer to as
50,this is elso the matter of hoyw,this is also the matter of how
51,believe that many of the people on qalv street and main,believe that many of the people on wall street and main
52,o start a new life sa,to start a new life as
53,to putr more emphasis on,to put more emphasis on
54,down in his chair and ooked out the window for a long period of time when i would looqk at that and i do n t think we have a zero,down in his chair and looked out the window for a long period of time when i would look at that and i do n't think we have a zero
55,no one ca preditt the outcome of this study was to describe,no one can predict the outcome of this study was to describe
56,for a very long time ot think about thei,for a very long time to think about their
57,recovericng from a broken home,recovering from a broken home
58,a number ofn factors contributed to,a number of factors contributed to
59,what she saw wad,what she saw was
60,a ocuple of hkurs after,a couple of hours after
61,comes uot at uhe world trade center was,comes out at the world trade center was
62,to talk with us aobu,to talk with us about
63,that whkn they come to my house for,that when they come to my house for
64,ot only in terms of the perforymance of students with visual impairments and other,not only in terms of the performance of students with visual impairments and other
65,a emans of rerucing,a means of reducing
66,to get znformation out of,to get information out of
67,she ha no right to do what we have discoverde,she has no right to do what we have discovered
68,n t knw why i did n t tell them how to do it for the first of the baby beom generation,n't know why i did n't tell them how to do it for the first of the baby boom generation
69,a serious effect o,a serious effect on
70,guy who kmew how to play the role of first,guy who knew how to play the role of first
71,great state of neww york and new jersey,great state of new york and new jersey
72,acknowledge the existecne of a nationsal health care,acknowledge the existence of a national health care
73,portrait of the atist as a yong girl in,portrait of the artist as a young girl in
74,i ca n t do that sort of thign that you do nt have a lot of things to do with naything,i ca n't do that sort of thing that you do nt have a lot of things to do with anything
75,was no significant difference berween the two of them at one time or another during,was no significant difference between the two of them at one time or another during
76,will always ake care of me when i got to thikning about,will always take care of me when i got to thinking about
77,who are blind or visually impierd,who are blind or visually impaired
78,across the eastern united sgates and cuanada in,across the eastern united states and canada in
79,been involved i the process fo doing,been involved in the process of doing
80,do n t atlk about it with,do n't talk about it with
81,continude to ee an active part in,continued to be an active part in
82,a spearate shet of,a separate sheet of
83,we havje children who,we have children who
84,as far as we are ale t take control of their own culture and,as far as we are able to take control of their own culture and
85,to hvae worked form,to have worked for
86,it is not a saqfe place where they can go back to the drawing boards,it is not a safe place where they can go back to the drawing boards
87,it at the expense of the rest of the world to th brink of financial,it at the expense of the rest of the world to the brink of financial
88,bt to do so this,but to do so this
89,the man said he did n t want to be part of a sgriehs of small,the man said he did n't want to be part of a series of small
90,an not be cgertain of,can not be certain of
91,do n t spaek ho her,do n't speak to her
92,he red cmolor of,the red color of
93,at home in the middle of the night i the middle of the winter milyk,at home in the middle of the night in the middle of the winter milky
94,and we thought that they would not be a part of the new york tiems and weekend,and we thought that they would not be a part of the new york times and weekend
95,construction of enw homes and,construction of new homes and
96,destroyed as a result of the fact that i ws going to play a significant role in the design and implementation of ee,destroyed as a result of the fact that i was going to play a significant role in the design and implementation of ee
97,do n t care how many ties have i told you she was,do n't care how many times have i told you she was
98,religion n the ublic schools and,religion in the public schools and
99,and i would liki to see him grow,and i would like to see him grow
100,and i still have to worry about that right aftr this news,and i still have to worry about that right after this news
101,come in through the front door of the polisce and tell,come in through the front door of the police and tell
102,and leazed back in his chair in front of the car and drove to,and leaned back in his chair in front of the car and drove to
103,a second or eve a ouple of hours in,a second or even a couple of hours in
104,have no choice but tpo come up to me and k do n t want to mess with,have no choice but to come up to me and i do n't want to mess with
105,n t get an anwser to this quetion of,n't get an answer to this question of
106,she was n t sure abju,she was n't sure about
107,i tried to help him to his feet and ewnt to the hospital tj have,i tried to help him to his feet and went to the hospital to have
108,a broad range of otpics,a broad range of topics
109,the son of a bicth who,the son of a bitch who
110,of just a ocuple of weeks to,of just a couple of weeks to
111,ujmping up and down and back and,jumping up and down and back and
112,only in rfont of the living room is filled with examples,only in front of the living room is filled with examples
113,know what they are pupposed to be out in the coming weeks and,know what they are supposed to be out in the coming weeks and
114,sit at the kitchen table ad,sit at the kitchen table and
115,born as a result of a variyet of age,born as a result of a variety of age
116,understand the asic principles of,understand the basic principles of
117,and how much dz you think it would be besj for me and my little,and how much do you think it would be best for me and my little
118,first time in her life hsd been savd,first time in her life had been saved
119,for a lot of people are not going to be evry careful not to touch,for a lot of people are not going to be very careful not to touch
120,but i thiink it is true that we do n t have to go through a series of articles in,but i think it is true that we do n't have to go through a series of articles in
121,and it is to have a evry strong message to,and it is to have a very strong message to
122,you got to see a picture of a youn woman in ax red,you got to see a picture of a young woman in a red
123,awae from his fathe,away from his father
124,i wasu a studetn at new,i was a student at new
125,after thr second world war and,after the second world war and
126,qny other work ob,any other work of
127,of what uou think is going to take a bit of a culture that is contqrolled by the united states and the district of columbia,of what you think is going to take a bit of a culture that is controlled by the united states and the district of columbia
128,fro a few seconds later,for a few seconds later
129,the question of why there is so much of what i have in mind is that of a group that has,the question of why there is so much of what i have in mind is that of a group that has
130,last night in new oork and new jeresy,last night in new york and new jersey
131,is n t going to be hard to go back to or top stfory this,is n't going to be hard to go back to our top story this
132,si the kind of things do you,is the kind of things do you
133,last a lot longer thatn,last a lot longer than
134,i lookeu down to see if there wese a lot of times you do,i looked down to see if there were a lot of times you do
135,almost two yerars agf when they,almost two years ago when they
136,wo n t dm the kind of attack,wo n't do the kind of attack
137,what that means is that we do n t see much ow a good place for us to catch,what that means is that we do n't see much of a good place for us to catch
138,stepped doown as chief,stepped down as chief
139,comes from the top of the food hat we,comes from the top of the food that we
140,have n f the foggiest ide of,have n't the foggiest idea of
141,a way to dqo that in this case is oing to do this and do,a way to do that in this case is going to do this and do
142,in the washington metroplitan area transit,in the washington metropolitan area transit
143,casey wian hsa ahe,casey wian has the
144,yuo could find yousrelf,you could find yourself
145,and is trying to ocme on this sbow last,and is trying to come on this show last
146,into the world and a lot of this has to do something about teh way she used to tell us about his,into the world and a lot of this has to do something about the way she used to tell us about his
147,comment on whether or nto she shoulde,comment on whether or not she should
148,fair to sayh that we need to be at the heart of the hitsoric,fair to say that we need to be at the heart of the historic
149,was gong to be a full partner on,was going to be a full partner in
150,in the health cared reform is,in the health care reform is
151,and to livb in the house or in,and to live in the house or in
152,is trying to changed the way ou used,is trying to change the way you used
153,you have no idea what to expcet ane how,you have no idea what to expect and how
154,feel like they have in their aility to compete in the global war on,feel like they have in their ability to compete in the global war on
155,a great edal of attentnion in recent,a great deal of attention in recent
156,thatg it is possible that there will be more of the same sort of thing that can happen to,that it is possible that there will be more of the same sort of thing that can happen to
157,lucky i am to ese,lucky i am to see
158,did not make it ot the next level of,did not make it to the next level of
159,and as he truned into,and as he turned into
160,florida international uniersity in,florida international university in
161,is far more dfificult,is far more difficult
162,would have zoved tio have,would have loved to have
163,ni the planning of,in the planning of
164,made it clear to me is that i wanted o do a story on adults who try to,made it clear to me is that i wanted to do a story on adults who try to
165,be the firset time in a long line of dead,be the first time in a long line of dead
166,a great piece ofo,a great piece of
167,getting us out of our way to a series fo articles about,getting us out of our way to a series of articles about
168,the fact htat whe i was in the thick of the playoff,the fact that when i was in the thick of the playoff
169,i want to goi to bed at night and go,i want to go to bed at night and go
170,irst coule of years ago in los,first couple of years ago in los
171,i do n t know what it feels likbe you,i do n't know what it feels like you
172,about to becom a united,about to become a united
173,health caer system and,health care system and
174,threy want to ubild on last,they want to build on last
175,the first and uast time,the first and last time
176,settlers in the occupide wedt bank and gaza strip,settlers in the occupied west bank and gaza strip
177,i as astonished to find,i was astonished to find
178,the goal  the,the goal is the
179,door had ebe left in,door had been left in
180,twice as mucl as he could in,twice as much as he could in
181,statemets of sukport for the notion of possible,statements of support for the notion of possible
182,woulsd be used to rpoduce,would be used to produce
183,he never asked me ot do about the fact that i was in my early,he never asked me to do about the fact that i was in my early
184,if she wanted to be the daugahter of the famous,if she wanted to be the daughter of the famous
185,were cqmputed to examine,were computed to examine
186,they were overwaelmed by,they were overwhelmed by
187,here was certainly no shortage,there was certainly no shortage
188,colud do tq stop,could do to stop
189,it had been decidsed,it had been decided
190,red hair adn green,red hair and green
191,up on osmew of the barriers,up on some of the barriers
192,alcoholic female managers and managers n,alcoholic female managers and managers in
193,for me it as just after,for me it was just after
194,ca n t use it as a way of saying tat he would have liked to have had at lebst one of the most widely used,ca n't use it as a way of saying that he would have liked to have had at least one of the most widely used
195,he also foudn that more than anything in the way of the,he also found that more than anything in the way of the
196,start at the very begininng of hgis,start at the very beginning of his
197,but whaa else can i etll you what we,but what else can i tell you what we
198,why would you want to put tha kind of pressufe,why would you want to put that kind of pressure
199,we hav plnty of money in the long run we are all the more reason why,we have plenty of money in the long run we are all the more reason why
200,a more conserative estimae,a more conservative estimate
201,keep yuong people uot,keep young people out
202,want to ojin the united states and japan,want to join the united states and japan
203,dozens of memers of the extended,dozens of members of the extended
204,o the weistern outskirts,on the western outskirts
205,bbe a huandred years from,be a hundred years from
206,weree able to use their cll phones,were able to use their cell phones
207,to fidn their own ways ofh doing that is,to find their own ways of doing that is
208,been a whie since,been a while since
209,i had alwvays wanted to do something about the way you said,i had always wanted to do something about the way you said
210,the writing disposition levels of ofurth and fifth grade elementary school pupils based on,the writing disposition levels of fourth and fifth grade elementary school pupils based on
211,when he came to feel that they hav to deal with these kinds of things that would n t be able to support a family of his,when he came to feel that they have to deal with these kinds of things that would n't be able to support a family of his
212,sure he did n t ant to be away from home for the first time in its,sure he did n't want to be away from home for the first time in its
213,ad been abxe to come back to haunt us,had been able to come back to haunt us
214,what you think is righy for us,what you think is right for us
215,to takr command oof,to take command of
216,everything we can to tyr,everything we can to try
217,is in the interests fo the united states during thel late nineteenth and early twentieth centuries,is in the interests of the united states during the late nineteenth and early twentieth centuries
218,have a problem with one of my favorite eople in,have a problem with one of my favorite people in
219,te beginnign of this,the beginning of this
220,did n t have to worry xbout in,did n't have to worry about in
221,when he wa a member of the armed forces of the united states has continued,when he was a member of the armed forces of the united states has continued
222,she is the editor of the harvard busniess,she is the editor of the harvard business
223,was able to give it up for all of us need to,was able to give it up for all of us need to
224,you ca n t get cxlose enugh to see that they do not have to worry about that right after this news,you ca n't get close enough to see that they do not have to worry about that right after this news
225,a sense oaf idkentity and,a sense of identity and
226,but he purpose of this article is based on the principle of natural,but the purpose of this article is based on the principle of natural
227,across the fulc speotrum of,across the full spectrum of
228,in the foj of higher,in the form of higher
229,us toi think that if they did n t want to believe that she had a job as an ediotr for,us to think that if they did n't want to believe that she had a job as an editor for
230,in lne to hte,in line to the
231,it would seme tj make a piece,it would seem to make a piece
232,i say tg preisdent elect,i say to president-elect
233,n t think we should try to getz at least one year,n't think we should try to get at least one year
234,have a duty to peotect,have a duty to protect
235,he got to know what to bo with his or her won role,he got to know what to do with his or her own role
236,a few minutes whtl,a few minutes while
237,show us a liittle bib of that,show us a little bit of that
238,that my mother and i went and talked to them abut what,that my mother and i went and talked to them about what
239,well within the raneg of omtion in,well within the range of motion in
240,ca n t wahit to ee what she had been aware of,ca n't wait to see what she had been aware of
241,i the current fiscal year,in the current fiscal year
242,order to figure oout where they came from the federal government is going to be there for each,order to figure out where they came from the federal government is going to be there for each
243,to the south korean government,to the south korean government
244,the rat of racnig in the,the art of racing in the
245,and of ocurse there are,and of course there are
246,too mch as te rest of his face and in,too much as the rest of his face and in
247,wrapped himself in the middle of a lot more than i want to come to terms with his,wrapped himself in the middle of a lot more than i want to come to terms with his
248,frame of imnnd in,frame of mind in
249,of the safest plazces ikn,of the safest places in
250,fingers up acnvd down the west,fingers up and down the west
251,fingecrs of my left,fingers of my left
252,can be a toubh place ot,can be a tough place to
253,to the rhyhtms of,to the rhythms of
254,there are omre things in heaven and earth,there are more things in heaven and earth
255,a speech to a joint session of ongress in,a speech to a joint session of congress in
256,in spanish with engilsh,in spanish with english
257,ni a village in teh middle of the desert and,in a village in the middle of the desert and
258,come to terms with the fact that they wer the onse with the,come to terms with the fact that they were the ones with the
259,are the issues that have beez translatezd into,are the issues that have been translated into
260,understand that they want to go thmrough all the things that seems to be a traget,understand that they want to go through all the things that seems to be a target
261,been liivng in a time of crisis,been living in a time of crisis
262,had begn shot in the bfack seat of our,had been shot in the back seat of our
263,hunts point in the continentoa united states,hunts point in the continental united states
264,i think that was a lot of quesitons to be asked to vote on a bill that would require thwm,i think that was a lot of questions to be asked to vote on a bill that would require them
265,followed by politicaqlely incorrect,followed by politically incorrect
266,do n t feel i had then opportunity to see how you can make your,do n't feel i had the opportunity to see how you can make your
267,thatf will be useful ni helping,that will be useful in helping
268,aynd hve the opportunity to vote,and have the opportunity to vote
269,did n t know enugh about,did n't know enough about
270,guys and thr bad guys in,guys and the bad guys in
271,could n t get wlong with other members of congress will,could n't get along with other members of congress will
272,at the blofod on the outside looking,at the blood on the outside looking
273,i think they want us to have a sense of what it feels like to be in the united states for more than a little to the right of people to have access to health care for tse poor and the working,i think they want us to have a sense of what it feels like to be in the united states for more than a little to the right of people to have access to health care for the poor and the working
274,front of so mny of us arte looking,front of so many of us are looking
275,on the total amount ov money tu do,on the total amount of money to do
276,he knxws he ca n t explain it to the end of the nineteenth and twentjieth,he knows he ca n't explain it to the end of the nineteenth and twentieth
277,ive you what you need to do si make the,give you what you need to do is make the
278,it wo n t have to have some knd of a big chwnk of,it wo n't have to have some kind of a big chunk of
279,forcde to have sex with a partner who,forced to have sex with a partner who
280,not get arried away with,not get carried away with
281,she is caught in the act of readyng,she is caught in the act of reading
282,there will aways be thowe,there will always be those
283,study in xhe new era,study in the new era
284,n t find anytthign in,n't find anything in
285,the way that you do n t get me ouut of the ground and i,the way that you do n't get me out of the ground and i
286,studos of member station kuow in,studios of member station kuow in
287,presiden of the national republican senatorial,president of the national republican senatorial
288,of ameticans united for sepfaration of church and state in the united states and many other forms,of americans united for separation of church and state in the united states and many other forms
289,te father of three grown,the father of three grown
290,has done lqittel to improve,has done little to improve
291,and sa much as you can abou,and as much as you can about
292,i guess i do n t wjnt to spend the money on the counter next to,i guess i do n't want to spend the money on the counter next to
293,he could n t make it tis,he could n't make it this
294,known it for a long sileot,known it for a long silent
295,fmebers of the house into,members of the house into
296,in the fist ro of,in the first row of
297,whatever we can do is to deal with the reaity of it is that we are not going to comment on trhe fact that the president of the motion picture association of,whatever we can do is to deal with the reality of it is that we are not going to comment on the fact that the president of the motion picture association of
298,the most sxcitizng of,the most exciting of
299,is that it is just tyhe lates in a series of attacks,is that it is just the latest in a series of attacks
300,have been born in the unoted states is unlikely,have been born in the united states is unlikely
301,bg that time he was a great shock,by that time he was a great shock
302,some of the other pesople in the same room with,some of the other people in the same room with
303,games the past two years hasb,games the past two years has
304,the tower of ondon,the tower of london
305,did not believe that we need to mak sure that i did n t want to sede that you do n t have a lot of these women and their,did not believe that we need to make sure that i did n't want to see that you do n't have a lot of these women and their
306,hourz in thel day and at,hours in the day and at
307,on its way tos becoming the,on its way to becoming the
308,we need to eb delat with by,we need to be dealt with by
309,what you iave to do is do,what you have to do is do
310,was the reactil when,was the reaction when
311,are not expected to return to the question of whether or no tat,are not expected to return to the question of whether or not that
312,raised her hasnd and led her to believe that what the united states beforej,raised her hand and led her to believe that what the united states before
313,he was doivg on,he was doing on
314,a product that i going to get to jnow each other pretty,a product that is going to get to know each other pretty
315,assuming for a moment he did,assuming for a moment he did
316,they are rvpresentative f,they are representative of
317,we sholud all eb so,we should all be so
318,this may be due in part to the fact that i wanted to do jomething dramatic,this may be due in part to the fact that i wanted to do something dramatic
319,the importanbt role playde,the important role played
320,and the escond thinb i,and the second thing i
321,will take a long time i the white house military,will take a long time in the white house military
322,they are able to understand how the worlds has becomeb,they are able to understand how the world has become
323,give us an idea of the united sttes goevrnment has,give us an idea of the united states government has
324,teh new jersey staet,the new jersey state
325,premer to focus on only,prefer to focus on only
326,and lots of other things that are going to bg hearing a lot of them were tryidg,and lots of other things that are going to be hearing a lot of them were trying
327,about the pirce of he,about the price of the
328,t is probably true,it is probably true
329,the ways in which they are a ggood way to make a marrigae,the ways in which they are a good way to make a marriage
330,kiljed by a roadside bomb explodde,killed by a roadside bomb exploded
331,i spoke with some of the most dramati eaxmples,i spoke with some of the most dramatic examples
332,a senior efllwo of,a senior fellow of
333,at odds wiht each ofher to form,at odds with each other to form
334,along hte front of the car and the,along the front of the car and the
335,for a momepn or two,for a moment or two
336,put a ahnd on ihs shoulder and,put a hand on his shoulder and
337,teaclhing in theyir subject,teaching in their subject
338,in the teenth of he,in the teeth of the
339,a lghtning rod for,a lightning rod for
340,wth my arms stretched,with my arms stretched
341,frenhc toast with fresh,french toast with fresh
342,he could feel his brezth,he could feel his breath
343,problem is not so much about what was going on in the middle of hte atlantic and the,problem is not so much about what was going on in the middle of the atlantic and the
344,are millions of people that have been uccessful in the short term and long,are millions of people that have been successful in the short term and long
345,fo arcaheology in british,of archaeology in british
346,can stay out of sight begvond,can stay out of sight beyond
347,you need in ordre to get a lot of things have to be a place where you ca n t prove a,you need in order to get a lot of things have to be a place where you ca n't prove a
348,the tcings in his lfe and in,the things in his life and in
349,by leigh oswrld for your daily,by leigh oswald for your daily
350,bu it is not a barrier,but it is not a barrier
351,has lost its sesne,has lost its sense
352,the emergence of a new york times reportd that,the emergence of a new york times reported that
353,does not kniow that it was wotrh it just to,does not know that it was worth it just to
354,be seen as an indicastion of the extent to which they were able to use it as a gift urom her,be seen as an indication of the extent to which they were able to use it as a gift from her
355,th south coast of,the south coast of
356,wanted me to cxme over to hte side of the house where he was pronounced dead at the age of the participants were asked to rate on a scale of one to two times,wanted me to come over to the side of the house where he was pronounced dead at the age of the participants were asked to rate on a scale of one to two times
357,reachv out to the parking lot to,reach out to the parking lot to
358,what was your reation to the idea that in,what was your reaction to the idea that in
